date,@home_mailer,@ccm_web_site,@social_media,@community_event,@family_member_or_friend,@current_ccm_student,@ccm_alumni,@high_school_teacher,@high_school_counselor,@in-app_advertisement,@employer,@billboard,@television,@radio,@other,decision_impact_affordable_cost,decision_impact_location/convenience,decision_impact_choice_of_programs,decision_impact_online_offerings,decision_impact_family/friend_referral,decision_impact_faculty/staff,decision_impact_college_reputation,decision_impact_financial_aid,decision_impact_scholarships,decision_impact_small_class_sizes,decision_impact_extra-curricular_opportunities,decision_impact_accepted_my_transfer_credits,decision_impact_negative_experience_at_another_college,decision_impact_nj_stars_program,decision_impact_ability_to_transfer,decision_impact_get_college_credit_while_in_high_school,major,gender
2023/09/25 2:48:43 PM EST,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No Impact,Some Impact,High Impact,No Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science / IT,Man
2023/09/25 2:52:17 PM EST,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science / IT,Man
2023/09/25 9:52:29 PM EST,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science / IT,Man
2023/09/26 8:34:47 AM EST,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science / IT,Man
2023/09/26 8:35:07 AM EST,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Computer Science / IT,Man
2023/09/26 8:35:26 AM EST,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,Computer Science / IT,Man
2023/09/26 8:36:29 AM EST,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Computer Science / IT,Man
2023/09/26 8:36:43 AM EST,Yes,Yes,Don't recall,Yes,No,No,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,Computer Science / IT,Non-binary
2023/09/26 8:38:05 AM EST,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Other,Woman
2023/09/26 8:38:11 AM EST,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,Computer Science / IT,Woman
2023/09/26 8:38:25 AM EST,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Some Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Computer Science / IT,Man
2023/09/26 8:39:32 AM EST,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,CIS / Game Developer,Man
2023/09/26 8:39:35 AM EST,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Other,Man
2023/09/26 8:41:19 AM EST,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Other,Man
2023/09/26 8:42:02 AM EST,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Computer Science / IT,Man
2023/09/26 8:42:55 AM EST,Yes,Yes,Don't recall,No,Yes,Yes,Don't recall,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,Computer Science / IT,Man
2023/09/26 8:43:02 AM EST,Yes,Don't recall,Yes,Don't recall,Yes,No,Yes,Don't recall,No,No,No,No,Don't recall,No,Don't recall,High Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science / IT,Woman
2023/09/26 8:43:09 AM EST,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,High Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,Computer Science / IT,Man
2023/09/26 8:44:05 AM EST,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,Computer Science / IT,Man
